income,loan_amount,employment_years,age,credit_score,existing_loans,dependents,loan_term_months,interest_rate,late_payments,credit_utilization,savings_balance,checking_balance,has_credit_card,has_mortgage,default
118806,879369,7,22,641,0,0,36,19.91,0,0.62,486735,43304,1,0,0
110982,701314,17,26,577,0,3,36,17.84,3,0.25,338104,33021,1,0,1
141626,570517,16,45,381,7,1,60,7.93,8,0.6,406626,133613,1,1,1
139176,394481,4,28,821,1,3,24,12.31,1,0.36,279348,179037,0,1,0
238126,255000,29,33,608,6,2,36,8.66,4,0.67,248376,153453,1,1,0
238969,701908,30,48,617,5,0,48,23.52,9,0.93,18913,141631,1,1,1
142409,423944,38,59,425,2,0,24,9.02,3,0.26,174231,55126,0,0,1
43419,210174,23,31,820,7,4,24,10.76,2,0.17,56807,77105,0,1,0
273618,463232,16,68,833,0,0,12,19.44,6,0.15,395727,135341,0,1,0
265310,874998,33,43,739,5,2,12,12.39,6,0.95,69024,169899,1,0,1
70015,122760,34,28,666,0,1,60,10.63,8,0.26,181721,182948,0,0,0
268550,975094,14,63,313,5,0,12,10.71,7,0.52,419581,39143,0,1,1
142096,802209,10,25,422,1,0,12,21.71,0,0.28,55529,184383,1,1,1
127059,498171,33,60,339,5,1,60,12.59,5,0.37,391613,166846,1,1,1
205340,643446,7,52,305,6,1,36,19.16,3,0.23,487257,47076,1,1,1
130687,124981,14,60,301,1,3,60,22.11,9,0.64,90035,99504,1,0,1
231428,512404,35,38,639,3,3,24,10.79,3,0.82,79126,159754,0,0,1
125878,622505,36,29,688,0,4,24,13.32,7,0.47,105564,78622,0,0,1
222982,754885,22,25,540,0,3,12,15.61,4,0.75,170084,131143,1,1,1
218286,410223,38,37,826,0,2,24,7.41,4,0.85,250828,67650,0,1,1
269002,566736,25,27,655,1,4,60,24.12,8,0.84,421051,105768,0,1,1
270396,572858,33,55,564,2,1,12,24.47,7,0.63,443741,113421,0,0,1
184899,442458,10,43,434,3,2,60,19.71,1,0.34,159881,199405,0,0,1
63585,105054,11,30,452,4,2,60,10.64,3,0.24,133261,179356,1,1,0
84044,343472,7,37,336,0,1,36,23.74,4,0.77,493139,166752,1,1,1
129556,804030,7,41,751,4,1,48,14.56,6,0.59,215494,125177,1,0,1
22693,646947,4,30,593,2,3,12,7.78,4,0.16,309814,112657,1,0,1
263307,500709,9,35,857,4,3,36,14.01,1,0.22,437481,56299,1,0,0
220235,574532,2,26,391,7,3,24,10.37,3,0.9,460088,27815,1,0,1
45939,730638,36,30,822,1,4,48,11.71,1,0.29,425500,198856,1,1,0
172906,989781,21,45,540,4,4,12,13.57,2,0.23,21628,84133,1,0,1
38047,835977,24,46,821,1,1,36,11.31,6,0.48,313389,169095,1,1,1
95766,379987,3,40,813,4,4,12,17.52,7,0.13,3448,8538,1,1,1
64262,604530,36,58,556,1,1,36,24.91,7,0.15,492357,102392,1,1,1
181152,942712,7,28,495,0,0,60,11.43,5,0.78,72607,6465,0,1,1
148376,205449,29,58,355,0,0,36,9.87,1,0.26,412985,109043,1,0,0
157848,313891,8,37,676,7,0,24,17.75,7,0.9,124582,73059,1,1,1
112787,519101,14,39,392,1,4,36,10.93,4,0.63,324315,11916,0,0,1
147948,635235,0,54,557,6,2,48,23.77,9,0.9,222213,150581,0,1,1
75016,812883,12,48,558,7,1,48,18.4,6,0.67,56763,128065,1,0,1
41959,492517,3,52,609,4,1,24,11.21,8,0.99,100841,186422,0,1,1
156602,351425,15,64,317,0,0,24,9.42,8,0.6,77435,15420,1,1,1
245928,645942,0,43,766,2,0,36,7.85,9,0.8,455467,126925,0,1,1
285892,49604,13,41,565,4,3,48,5.72,3,0.81,391234,44966,1,0,1
248576,292079,26,31,386,1,3,60,13.27,6,0.82,425446,162787,0,1,1
33545,68655,25,32,475,2,2,48,5.86,5,0.52,486142,100524,0,0,1
185838,505693,31,65,791,7,1,24,10.54,7,0.17,137967,162083,0,0,1
81087,457369,39,53,672,1,3,60,19.02,8,0.28,68571,182553,1,0,1
88840,951573,1,23,840,1,0,36,13.86,6,0.83,300415,187390,1,1,1
138451,812448,15,46,537,6,4,48,22.05,6,0.4,443788,41785,0,1,1
59353,496913,27,43,543,5,2,48,9.83,9,0.6,453357,79911,1,1,1
213075,932075,25,40,427,3,0,36,5.32,0,0.8,115688,102080,0,0,1
234283,594871,10,58,600,3,2,12,19.62,9,0.55,352167,195992,0,0,1
85318,670007,22,25,401,4,0,12,7.94,2,0.68,198059,82138,1,1,1
261025,253508,29,22,812,4,0,60,12.21,1,0.92,98813,36232,1,1,0
87172,998332,30,58,305,6,0,48,16.8,1,0.56,140846,60853,1,0,1
236688,400504,1,44,516,7,3,12,21.54,1,0.33,290508,181945,1,1,1
276951,700176,19,68,501,0,2,24,23.45,5,0.63,94760,91543,1,1,1
113264,127250,28,68,408,3,2,36,7.71,3,0.22,317885,2634,0,0,0
266458,114626,9,59,470,0,1,60,14.34,6,0.62,242601,156262,1,1,1
245281,432193,17,55,372,6,2,60,17.54,2,0.36,11526,185003,0,0,0
132859,481300,30,47,893,4,2,12,9.3,3,0.18,55137,23266,0,1,0
289536,706376,3,48,674,2,4,48,9.2,1,0.91,459454,11439,0,1,1
277426,441198,26,39,459,2,3,36,5.4,9,0.82,360712,113475,0,0,1
197789,750354,17,60,416,4,2,48,24.94,2,0.68,205361,1502,1,0,1
238164,292800,30,23,731,1,0,36,23.92,6,0.73,92815,140515,1,1,1
145657,348746,6,34,756,3,2,36,11.1,8,0.53,272242,82784,0,1,1
255167,124233,18,51,734,3,3,48,22.69,3,0.94,182475,171891,0,0,0
177381,701173,38,56,806,1,2,12,7.41,1,0.25,271875,122134,1,1,0
214806,526321,1,26,514,1,3,36,16.29,5,0.23,49216,54870,0,0,1
90467,168095,13,57,561,0,0,36,22.62,0,0.94,245138,191303,1,0,1
203734,991579,35,42,768,1,1,60,6.14,4,0.97,101134,150691,0,0,1
118506,162351,27,45,600,3,0,12,24.88,3,0.87,118049,53979,0,0,0
129751,968406,37,49,787,0,3,60,20.57,4,0.22,140925,172823,0,0,1
188229,19069,2,45,466,1,2,24,22.77,6,0.23,483037,119027,1,0,1
126081,216909,28,22,702,4,4,12,17.92,0,0.54,344815,93298,1,1,0
109045,876763,26,65,576,7,1,48,11.64,7,0.15,86836,158675,1,0,1
54698,920157,2,55,632,6,1,60,7.97,1,0.12,248386,193545,0,1,0
130078,596361,29,39,415,2,1,24,17.43,8,0.58,327247,95686,0,1,1
42671,846653,17,25,368,1,1,24,14.03,3,0.8,228666,170543,1,0,1
106202,264470,7,53,644,1,3,60,14.54,1,0.49,296534,17968,0,1,0
71663,185015,9,47,496,1,1,60,8.32,7,0.58,275162,170758,1,0,1
35708,487145,21,38,428,6,1,36,10.39,5,0.87,32378,61571,0,0,1
153883,261181,23,25,328,6,0,60,7.29,8,0.9,104079,175939,0,1,1
132547,719029,2,28,860,0,3,36,14.08,9,0.86,397039,46517,0,1,1
54754,201536,13,61,398,2,0,24,18.02,0,0.14,352218,107563,0,0,1
246814,103486,23,64,846,1,1,36,9.65,3,0.12,115241,4815,1,1,0
257714,508739,26,39,785,1,4,48,9.56,1,0.1,151025,109226,0,1,0
162483,366981,33,31,864,1,2,48,16.07,9,0.15,187531,42804,0,0,1
153983,313318,30,54,627,1,4,60,18.67,1,0.55,368843,127527,0,0,0
234835,131365,26,36,431,7,1,36,5.33,4,0.48,421867,13754,0,1,1
104896,594979,28,38,732,3,2,24,6.09,1,0.85,108512,91978,0,1,1
91295,92731,28,54,532,3,3,24,15.99,8,0.25,129411,9553,0,1,1
239686,883688,11,32,493,5,4,48,7.98,8,0.98,181488,133682,0,0,1
293255,263984,13,32,761,2,4,24,20.93,9,0.12,249730,179447,1,1,0
152874,653560,26,46,527,5,1,48,9.13,8,0.54,96409,57978,1,0,1
28155,435868,1,49,794,7,3,24,22.81,3,0.52,288036,145214,0,1,1
67254,609397,36,29,460,1,4,24,5.1,5,0.19,157731,157075,0,1,1
105981,856798,17,66,658,7,3,48,8.46,9,0.54,448814,122118,0,1,1
50306,12977,12,50,696,0,4,60,6.17,3,0.58,355292,81560,0,0,0
167718,961428,8,57,659,3,4,24,11.77,8,0.42,388399,166435,0,1,1
140975,157876,28,31,424,7,3,12,6.07,1,0.33,357911,179872,1,0,0
127512,775905,9,31,849,5,2,12,19.72,3,0.19,492263,109911,1,1,0
167443,33853,19,52,707,0,0,60,12.67,7,0.93,385585,134603,0,0,1
153121,166682,36,64,784,3,2,24,8.47,3,0.94,171752,61594,1,0,0
182688,796706,28,40,364,3,1,24,11.4,5,0.31,272463,7348,1,0,1
137796,75394,5,68,368,4,4,60,15.5,9,0.89,215372,12531,0,0,1
212506,526606,25,62,434,7,4,12,20.3,0,0.9,426966,149806,1,1,1
194088,380576,21,56,361,0,3,36,15.66,1,0.38,63416,142833,1,0,0
289544,920632,37,59,839,7,0,60,11.57,8,0.52,400942,64428,0,1,1
193714,851755,25,63,812,0,3,60,24.67,3,0.53,100944,57856,0,1,0
35151,566734,16,66,696,3,2,36,14.5,7,0.5,401427,45325,1,0,1
86690,724734,0,35,606,2,2,60,7.94,1,0.26,428017,164419,1,0,1
24499,852443,30,66,807,7,3,24,11.27,8,0.5,447929,152536,0,1,1
26295,813855,8,22,477,3,2,60,9.7,0,0.89,443339,109071,0,0,1
294327,479812,25,69,867,2,0,24,11.76,4,0.48,439672,112364,1,1,0
163946,545251,5,51,449,7,4,24,9.15,4,0.78,440339,184996,0,1,1
52711,354040,1,25,480,4,3,12,17.33,9,0.9,446777,126871,1,0,1
287683,378043,26,69,443,1,1,36,13.22,8,0.85,256311,10189,1,0,1
204423,6699,0,45,376,6,4,12,24.75,6,0.94,496414,42981,1,1,1
199426,135014,29,55,442,7,1,24,16.02,9,0.84,186865,102160,1,1,1
153629,945722,17,68,736,5,3,48,9.9,9,0.82,270547,23759,0,0,1
233090,983464,33,48,543,4,2,60,16.51,7,0.84,481315,61510,1,1,1
153272,424892,20,60,447,2,3,48,5.65,6,0.41,186173,112180,1,0,1
263548,130143,0,31,411,3,2,36,14.65,3,0.36,459105,5077,0,1,1
198047,816721,31,69,394,7,3,36,6.9,9,0.38,149487,193001,0,1,1
139121,580525,33,21,608,0,3,36,12.59,8,0.67,410135,45413,0,0,1
97505,874803,13,58,578,1,3,12,20.99,3,0.64,263939,192644,0,1,1
22869,651404,4,39,768,6,0,24,21.26,0,0.42,71533,100402,1,1,0
277186,612605,35,47,808,3,0,12,17.09,8,0.39,184458,15605,0,0,1
132296,895910,31,39,544,1,4,36,5.13,6,0.35,137056,161823,1,0,1
114179,642320,8,23,894,1,2,36,14.8,8,0.13,174360,198418,0,1,1
110272,849200,34,24,484,7,1,24,16.1,1,0.42,429195,96406,1,0,1
58467,448396,24,62,831,6,2,36,17.79,8,0.49,205687,76007,0,0,1
155059,562746,10,24,330,5,0,48,6.43,2,0.47,484639,96397,1,0,1
78871,905149,12,35,419,5,2,36,20.75,5,0.31,15220,11912,1,0,1
148391,12898,29,50,820,2,1,24,8.55,5,0.31,243398,106919,0,1,0
106416,627071,33,21,658,4,2,48,16.27,8,0.69,151194,88350,1,1,1
276687,324259,31,53,418,5,4,48,5.4,9,0.74,49692,10063,1,0,1
221163,647986,29,28,569,1,0,48,13.93,3,0.93,91830,81438,0,0,1
127450,696707,17,42,671,4,0,60,18.95,1,0.79,8410,33483,0,0,1
191890,769683,38,25,565,0,1,48,21.6,8,0.16,472876,100555,0,0,1
136381,868684,2,37,459,2,3,36,10.65,9,0.35,4766,181614,0,0,1
67333,190616,6,52,659,3,3,60,12.14,8,0.87,336458,71628,0,1,1
154508,603791,38,29,625,4,0,12,23.15,8,0.55,67577,81708,0,1,1
225362,124254,33,33,710,1,4,36,8.65,0,0.45,72434,40854,1,1,0
170810,351129,7,60,417,2,4,24,8.03,5,0.5,407230,79456,0,0,1
69377,981626,31,66,862,0,0,24,7.88,2,0.53,317996,114392,1,1,0
156672,996860,39,35,622,7,2,60,9.49,0,0.29,310118,70308,0,1,0
245732,397230,13,41,780,2,3,24,22.44,9,0.43,191124,187011,0,0,0
191836,136112,4,35,744,3,2,12,7.47,1,0.33,205104,55312,0,0,0
225615,527859,6,36,561,3,0,12,12.95,2,0.35,297184,108869,1,0,1
65714,121932,9,22,484,3,3,60,20.55,8,0.22,427899,177489,1,1,1
122946,586930,19,46,536,7,4,12,7.26,6,0.97,351408,104882,1,1,1
125983,181336,20,64,355,4,3,24,23.42,6,0.56,196811,197222,0,1,1
207563,256822,27,62,422,7,0,48,10.58,4,0.68,52165,66694,1,0,1
144123,726774,28,43,795,1,1,48,10.61,0,0.72,207352,145968,0,0,1
102989,297527,5,53,336,1,3,48,22.51,0,0.24,146157,121398,0,0,1
198274,80538,37,64,402,5,1,36,5.54,1,0.22,464809,15716,0,1,0
183707,652956,2,59,403,3,2,24,22.52,0,0.81,434646,65601,0,1,1
285564,454771,36,66,745,6,2,12,20.76,5,0.71,343650,78857,0,1,1
151373,331146,16,66,781,3,1,24,6.22,9,0.38,301284,187269,1,0,1
135294,250095,32,35,760,7,4,12,19.44,6,0.99,309836,31972,0,1,1
144019,516799,9,41,434,1,2,36,17.44,2,0.79,419893,130140,1,0,1
85726,849158,36,24,671,5,0,24,14.73,6,0.14,213513,32750,0,1,1
161564,858418,32,57,380,4,2,36,5.63,8,0.17,483779,42751,1,0,1
288246,398088,27,25,431,6,0,60,20.76,7,0.95,283698,110188,1,1,1
201408,917727,22,53,745,3,1,48,16.23,4,0.79,254052,124248,0,1,1
138015,714885,9,48,874,1,1,12,17.31,4,0.79,281007,117303,1,1,1
236386,581035,7,28,832,3,0,48,6.57,7,0.62,443697,151019,1,0,1
274079,394626,15,42,637,5,1,36,8.25,7,0.83,204689,76369,0,0,1
46641,111825,31,29,324,1,2,36,18.5,1,0.88,285538,43748,1,1,1
185656,114550,24,36,766,2,3,12,10.99,0,0.63,31848,128046,0,1,0
183817,15727,36,64,348,5,3,36,9.84,2,0.94,381818,22146,1,1,1
56631,321205,14,53,328,4,0,48,16.25,1,0.39,212965,174282,1,1,1
262289,372073,15,62,488,6,2,12,22.4,3,0.74,96126,68709,1,1,1
92991,920927,16,65,891,0,2,12,22.36,2,0.93,30258,52486,1,1,1
24014,527134,26,25,565,3,3,60,24.89,1,0.46,431253,193767,0,1,1
293237,702339,25,32,340,1,0,36,14.26,5,0.9,200055,146839,1,1,1
38070,606524,7,63,729,7,2,24,7.25,0,0.82,393572,60421,0,0,1
76958,321837,10,58,402,3,0,36,10.65,9,0.86,266161,193476,1,1,1
102074,739206,26,42,769,0,0,60,11.14,7,0.87,159808,19181,0,0,1
30729,996010,8,23,357,1,4,36,12.78,7,0.52,108845,1521,0,1,1
250785,993321,10,62,815,6,3,36,22.66,7,0.91,273891,8654,0,0,1
196089,844405,6,57,596,7,0,36,22.06,8,0.36,48704,49196,0,1,1
217392,181561,27,64,316,0,1,36,15.85,4,0.93,10377,194502,0,1,1
178823,657846,29,23,865,5,2,36,16.66,6,0.17,321899,74574,1,0,1
125864,727723,35,69,792,3,4,24,10.95,6,0.21,19368,86995,0,1,1
229141,336791,8,27,421,7,2,36,9.19,2,0.54,311512,119491,1,0,0
74748,970590,34,32,602,5,0,24,16.95,4,0.66,431278,17398,0,0,1
25801,177651,12,67,419,3,2,24,5.12,7,0.24,73761,124016,1,1,1
170262,267832,3,31,786,3,4,24,7.66,5,0.48,317416,175068,0,0,0
255362,146376,9,21,852,1,4,24,23.97,4,0.14,17534,121876,1,1,0
49592,542150,25,25,767,3,4,12,23.59,6,0.84,247631,75904,1,0,1
292791,251579,2,43,467,1,2,24,11.15,2,0.58,378055,113823,1,0,0
159788,863184,16,66,357,4,3,24,12.94,9,0.94,138575,113002,1,1,1
239963,973957,26,39,587,7,2,36,21.26,7,0.92,254603,179899,0,1,1
268710,999875,21,28,768,2,2,48,15.23,5,0.89,83612,160067,1,0,1
240984,105964,35,33,694,2,3,48,20.49,5,0.52,44096,73283,0,1,0
278067,977304,7,66,411,5,4,12,23.26,1,0.54,353506,162765,1,0,1
284512,998474,32,62,850,3,0,60,18.13,7,0.66,270546,189058,1,1,1
97575,375938,25,33,715,0,4,60,14.79,2,0.81,369778,85789,1,0,1
288799,298413,30,44,769,2,1,12,18.06,2,0.25,54544,18099,1,1,0
257549,626852,10,63,871,7,1,48,9.9,3,0.57,142437,62722,1,0,0
90031,731558,28,31,888,6,2,24,16.58,7,0.28,28007,127821,0,1,1
107922,235330,28,52,453,0,3,48,22.58,6,0.18,15547,59820,1,1,1
144046,765117,37,48,453,3,2,24,13.23,5,0.99,45538,13335,1,1,1
52097,493628,36,23,830,3,0,48,13.08,6,0.25,431456,171765,0,1,1
162038,314017,14,48,396,4,4,60,8.62,2,0.21,450706,56890,1,1,0
144862,353812,14,59,359,1,3,24,5.82,1,0.86,220707,151642,1,0,1
250229,340092,6,39,441,0,1,24,16.68,3,0.99,46503,113438,1,0,1
138834,836762,28,65,846,5,1,36,24.49,4,0.54,387317,19691,1,0,1
113848,743527,32,35,804,4,4,24,24.87,6,0.69,188166,169912,1,0,1
72921,518390,15,26,385,7,4,36,7.84,6,0.66,84382,130073,0,1,1
200798,968098,33,45,516,2,2,60,11.82,6,0.93,330856,38099,1,1,1
146141,538753,20,67,653,0,0,12,22.27,4,0.37,164214,6576,1,1,1
201372,863854,6,50,804,0,1,24,6.3,3,0.49,36943,46531,0,1,0
75609,365460,28,25,890,4,1,60,22.15,2,0.22,271827,106815,1,0,0
247897,323771,8,62,437,0,4,12,20.57,0,0.25,154503,192584,0,1,0
51024,402921,6,22,403,5,0,24,20.54,0,0.54,190159,92900,1,1,1
90313,973895,13,43,527,2,4,36,5.25,5,0.46,188316,197660,0,1,1
204078,169537,29,41,482,1,1,36,7.93,4,0.39,271627,22594,1,0,1
133632,662426,23,25,730,0,4,48,8.53,1,0.5,437030,180657,0,1,0
271451,507098,33,63,502,7,2,24,13.24,3,0.23,366880,123765,1,1,0
23051,372362,7,51,776,5,4,36,11.34,2,0.62,189651,17756,0,1,0
199819,697802,0,46,351,7,1,12,22.94,8,0.61,426597,133794,1,0,1
107235,327565,33,34,645,2,1,36,12.39,8,0.29,56174,50161,1,1,1
217484,690805,19,54,374,0,4,60,14.85,3,0.81,182232,66880,0,0,1
209407,696941,30,46,326,7,0,36,8.4,8,0.33,451264,98164,0,1,1
231810,628642,14,63,620,4,1,12,16.09,5,0.25,52391,75261,0,0,1
223687,826352,14,61,885,5,3,60,23.6,4,0.25,266874,103212,1,0,1
93523,426719,33,30,785,3,4,24,12.84,9,0.31,141421,130844,0,1,1
256175,176529,4,57,824,7,1,36,19.8,0,0.19,367089,27757,1,1,0
114476,179863,21,57,465,1,3,12,7.71,6,0.91,67887,175232,0,1,1
253841,315550,11,37,417,0,4,60,10.2,6,0.7,95310,81852,1,0,1
299163,162998,30,40,877,7,0,12,20.92,8,0.24,160538,157835,1,0,0
242866,477075,28,62,407,0,2,12,14.67,3,0.34,55426,118401,1,0,0
106672,59939,21,26,805,5,2,12,12.59,8,0.78,313143,156456,1,1,1
